1000 1000
0 417 541
1 381 536
0 90 408
0 697 773
0 173 543
1 334 387
0 279 921
1 429 526
1 218 769
1 37 846
0 118 158
1 558 821
0 212 870
1 408 897
0 525 529
0 400 746
0 103 527
1 650 833
0 236 880
0 161 667
1 632 801
0 220 680
1 431 838
1 331 372
1 79 692
0 254 458
0 17 769
1 249 486
1 541 934
0 343 423
1 43 308
1 502 893
1 370 751
0 230 318
0 585 663
0 248 726
1 175 322
0 404 538
1 308 597
1 336 445
1 201 236
1 391 522
1 245 670
0 53 479
1 152 845
1 913 940
1 569 926
0 283 497
1 313 952
1 343 948
1 385 418
0 108 200
0 83 257
1 187 954
0 375 715
1 728 777
0 832 876
1 174 423
0 103 151
0 471 649
0 57 877
0 334 728
0 342 370
0 485 667
1 130 319
1 166 761
0 246 504
1 937 974
1 781 890
1 146 647
0 868 976
1 221 812
0 554 556
1 0 785
1 6 509
1 109 642
0 58 548
1 426 671
1 420 921
0 462 888
1 540 797
0 163 507
1 715 810
0 31 217
1 185 616
1 535 980
1 479 996
1 72 77
1 55 266
0 497 637
0 60 268
1 239 726
0 192 642
0 288 482
1 30 321
0 143 679
1 411 768
1 151 710
0 105 527
1 175 580
1 632 739
0 96 306
0 93 363
0 301 687
0 12 50
0 217 943
1 232 765
1 215 238
1 371 990
0 39 997
1 5 996
1 623 846
0 8 362
1 771 986
0 36 556
1 481 658
1 809 924
0 111 851
1 624 935
1 283 372
0 3 837
0 19 195
1 753 848
0 19 397
0 125 753
0 311 991
1 139 648
0 449 689
1 724 897
1 842 933
1 281 842
0 386 428
0 695 863
0 463 473
1 73 852
0 75 503
0 844 880
0 215 853
1 699 728
1 248 447
1 103 680
0 43 647
0 36 600
0 118 724
0 578 962
1 252 871
0 214 224
1 235 250
1 278 873
1 500 799
0 864 894
0 278 784
0 72 322
0 264 896
0 27 191
0 143 385
0 182 354
1 123 770
0 122 774
1 711 842
0 307 553
0 64 694
0 365 389
0 238 652
0 395 653
0 273 979
0 197 723
1 637 954
1 712 735
1 9 716
0 87 743
1 105 632
1 296 555
0 440 958
1 39 488
0 264 418
0 265 603
1 860 893
1 189 334
0 384 718
1 426 431
1 244 311
0 588 742
0 402 940
0 588 994
1 102 201
0 101 787
1 125 408
1 198 995
0 815 875
1 773 994
0 404 420
0 668 694
0 286 540
0 333 669
0 333 823
1 217 244
0 102 888
1 176 557
1 340 399
0 113 967
1 547 696
1 65 94
0 533 937
1 694 971
1 509 864
0 341 603
1 422 577
1 86 195
0 666 812
0 27 927
0 717 875
0 929 963
0 40 960
1 41 834
0 388 460
0 708 846
1 286 675
1 68 515
0 254 556
1 240 667
0 129 325
1 364 437
1 369 882
1 504 509
1 136 423
1 266 343
1 789 880
0 376 502
1 314 577
0 20 594
0 162 380
1 385 962
1 89 276
0 315 775
0 563 993
1 644 947
0 160 900
0 241 927
0 722 918
0 32 478
0 437 481
1 771 816
1 466 821
0 155 361
0 51 683
1 182 487
1 229 592
1 462 863
1 130 721
1 363 526
1 276 371
0 283 463
0 595 687
0 659 665
1 621 650
0 482 880
0 846 960
1 14 345
0 754 802
0 481 955
1 58 195
0 57 425
1 558 937
1 254 895
0 260 676
0 155 795
0 53 805
1 204 435
0 196 930
0 162 552
1 586 629
1 693 982
1 515 866
1 31 996
1 90 513
1 556 973
1 482 737
1 86 529
0 563 749
0 591 727
1 288 905
0 505 933
0 283 429
0 328 390
1 70 691
0 262 918
1 754 895
1 903 934
0 501 631
0 105 363
1 242 843
0 336 492
0 505 953
0 573 695
0 11 761
1 626 865
0 44 462
0 682 822
0 116 750
1 482 729
0 893 987
0 406 732
1 107 650
1 13 564
0 391 923
0 257 485
0 412 812
0 208 734
0 127 515
1 373 486
0 209 253
0 849 915
1 58 587
0 81 379
0 363 669
0 62 224
1 518 937
0 18 862
0 14 522
1 17 158
1 430 859
0 428 942
0 67 995
0 840 964
0 192 750
0 234 810
0 33 595
1 621 754
1 303 774
1 653 800
1 560 979
0 126 534
0 195 603
1 421 842
1 78 649
0 510 580
1 2 419
1 529 796
0 279 329
0 180 596
0 221 913
0 214 562
0 392 718
1 146 649
1 475 972
1 378 739
1 45 202
0 313 809
0 8 540
0 35 681
1 72 989
1 923 942
1 869 966
0 652 874
1 233 630
1 16 787
1 472 707
1 617 786
0 443 503
0 338 918
0 764 786
0 854 910
1 585 782
0 256 822
0 564 724
0 8 156
0 105 537
0 252 420
1 370 935
1 841 970
0 313 643
1 12 391
1 639 828
1 140 755
1 61 380
1 451 774
0 22 732
0 238 486
0 462 518
1 350 381
0 422 888
0 304 596
1 550 701
1 25 780
0 149 817
0 83 209
0 62 534
1 596 781
0 96 310
0 455 837
0 727 901
1 78 159
1 2 343
1 104 959
1 421 930
0 765 863
1 537 868
0 155 911
1 775 912
0 135 223
1 539 864
1 102 405
0 421 681
1 50 125
1 640 997
1 408 691
1 12 603
1 830 939
1 965 970
1 163 164
0 583 925
1 441 960
0 16 132
1 395 570
0 612 880
1 167 908
0 219 871
0 431 639
0 549 901
0 29 285
1 167 450
1 151 180
0 263 299
0 302 802
0 872 884
1 92 495
1 648 999
1 219 234
1 774 925
1 34 143
0 235 427
1 471 610
0 711 857
0 182 582
0 194 818
1 293 822
1 200 851
1 145 752
1 41 834
0 600 838
0 818 876
1 767 930
1 251 930
1 682 853
1 707 840
1 104 593
1 827 844
0 378 382
1 56 167
0 224 386
0 182 550
0 816 970
0 225 879
0 595 677
1 211 556
0 612 694
1 781 892
1 434 617
0 33 645
0 499 863
0 30 448
1 236 249
1 188 789
0 219 649
1 805 912
0 298 814
0 539 699
1 176 411
0 747 783
1 335 340
0 71 233
1 779 888
0 652 996
1 674 717
1 538 765
1 423 766
0 476 948
1 446 461
0 60 782
0 419 623
1 563 836
1 668 999
0 717 785
1 597 672
1 236 563
0 549 689
1 234 883
0 771 907
1 182 805
1 683 954
1 352 585
1 193 984
0 438 694
0 174 186
0 60 972
0 31 521
1 551 632
1 613 944
0 842 998
1 581 602
1 436 585
1 157 756
0 145 983
0 468 688
1 775 956
1 15 420
0 833 943
1 35 774
0 324 458
1 471 588
0 520 628
0 105 207
1 214 633
0 115 673
1 354 509
1 216 779
0 35 593
0 5 99
0 707 925
0 323 757
0 645 651
1 223 524
1 61 306
1 665 766
0 28 112
0 451 953
0 852 970
0 172 964
1 418 589
1 288 447
0 720 780
0 88 136
1 231 366
1 56 609
0 798 880
1 907 964
1 147 880
1 46 765
0 326 682
0 214 818
1 101 416
1 241 730
1 670 969
0 807 963
1 200 323
0 170 776
0 725 791
0 303 709
1 136 191
1 206 395
0 296 360
1 403 844
1 239 572
0 113 123
0 301 745
0 186 786
0 3 55
0 70 254
1 85 506
0 740 902
0 331 555
1 111 936
1 318 775
1 62 361
1 514 545
0 74 712
1 243 910
0 23 327
1 128 997
0 309 899
1 270 847
1 792 961
0 814 984
0 355 881
0 579 953
0 183 455
1 71 302
1 238 353
1 183 352
0 308 896
0 73 963
0 528 860
1 916 927
1 317 428
1 572 859
0 204 574
0 20 472
0 201 879
1 464 999
0 93 847
0 597 689
1 144 719
1 382 915
1 394 729
0 635 845
0 611 613
0 430 598
1 796 883
0 109 287
1 440 573
0 615 849
0 32 732
1 100 279
0 451 559
1 532 781
0 19 349
1 373 878
0 552 756
1 831 888
1 260 581
1 274 893
0 343 753
0 829 841
1 131 812
1 659 752
1 266 495
0 572 960
0 434 844
0 659 825
1 70 203
0 596 630
0 244 608
1 109 176
0 527 971
1 812 845
0 728 772
0 157 869
1 83 814
1 350 881
0 67 335
0 899 921
0 183 905
1 661 924
1 312 469
1 429 946
0 472 876
1 250 599
1 570 987
1 105 884
0 376 550
0 364 414
1 88 477
1 632 669
1 552 767
1 266 987
1 216 845
0 12 406
1 52 295
0 117 739
1 86 643
1 533 876
1 84 555
1 57 456
0 325 695
1 625 736
1 194 923
0 649 937
0 420 808
0 225 697
0 168 834
0 101 827
1 44 667
1 663 982
0 331 879
1 417 986
1 260 697
1 787 828
0 101 647
1 227 304
1 585 810
1 44 749
1 269 970
1 108 853
0 518 724
1 465 940
1 235 300
0 223 805
0 616 922
1 340 569
1 368 567
0 298 354
1 65 264
0 377 661
1 36 523
0 355 535
0 874 920
1 190 323
1 377 702
0 308 452
0 380 394
1 4 605
0 791 827
0 118 560
1 350 427
1 298 795
1 529 714
0 230 466
0 441 923
1 487 990
0 198 688
0 64 110
0 507 711
1 107 850
1 248 813
0 332 982
1 206 677
1 413 654
0 350 820
0 854 946
0 163 931
1 682 687
1 190 897
0 81 109
0 138 884
1 273 350
0 542 922
0 690 976
0 673 863
1 82 655
1 41 818
0 444 512
1 47 204
1 199 756
1 133 706
0 341 831
1 606 869
0 283 379
1 399 760
1 88 257
0 730 836
1 437 958
0 346 630
0 168 496
1 79 112
1 161 834
0 617 901
1 665 736
0 40 144
0 651 713
