100000 1000
0 17362 49472
0 717 49869
1 77106 91171
1 8074 45093
0 51281 52047
0 17581 83011
0 4064 13406
0 70437 80999
1 5956 76447
1 40933 68978
0 46291 67465
0 52432 74200
1 34035 70432
1 1472 67805
0 34430 75120
1 26943 86738
0 14501 72835
1 93220 98437
1 61165 71506
1 79095 97854
0 39973 75363
0 13474 92116
1 44757 78262
1 89309 98546
1 15306 46183
0 38263 43443
0 73674 89558
1 68387 70828
1 59959 63070
0 5866 87620
1 8260 61169
1 3416 56745
0 62878 74758
1 51103 93270
0 19345 77933
1 27649 90582
0 60356 82866
0 16353 78927
0 14934 89544
0 45833 78243
0 24222 74520
1 3343 15208
1 13917 26762
0 34616 61558
1 36849 59944
0 8396 10880
0 50851 73955
0 22821 82467
1 5354 46123
1 22474 66015
0 40904 45420
0 49362 88798
1 48960 98271
1 45031 92454
0 46810 51878
1 57751 83000
1 9157 50682
0 37774 75362
0 24428 63164
1 2381 19174
1 44919 56752
0 41910 49530
1 38157 81644
1 26601 62054
1 55985 65632
1 69873 95186
1 23849 55558
0 19905 67301
1 11710 28279
0 22867 74023
1 6928 10017
1 6260 59979
1 41903 61610
1 64331 97968
1 2625 38524
0 3970 98092
0 68923 80399
0 82538 91040
1 15793 66328
0 35715 47863
1 13702 65017
1 43088 57407
0 16922 40188
1 25189 92672
1 33720 80487
1 18066 80863
1 9356 54157
0 62660 96892
0 5386 38568
1 21022 35537
0 36349 73343
1 58815 77136
1 57310 78867
0 50574 86148
1 28905 61276
0 5417 81833
0 55529 85527
0 26564 79912
0 17962 93904
1 7690 22479
1 32185 93440
0 91131 99473
0 12286 71938
1 28909 74270
1 28670 44245
1 8973 88826
0 56180 92532
1 68041 69340
0 190 87306
1 31672 69949
0 20849 23037
1 24103 50724
1 26673 39062
0 13170 42204
1 39567 78648
1 56273 95858
0 43430 57222
0 27803 43943
0 17544 96276
1 39553 40552
0 56963 59677
1 92062 95027
1 26537 37368
0 68012 94902
1 44970 87915
1 31277 70732
0 9751 61987
0 20852 33974
1 8608 46643
0 44292 89172
0 64894 91028
1 48939 86110
0 1608 14010
0 8798 79490
0 39420 88214
0 59414 71134
1 11436 95525
1 20931 27696
0 33609 85687
1 14967 40702
1 13126 23071
1 34628 75455
1 45523 68838
1 59352 72277
0 24070 65606
1 24783 67708
0 59239 77585
1 13003 23046
0 1687 91089
1 90666 97403
0 14311 42281
1 49737 51874
1 10486 48637
1 57193 69784
0 75917 91795
1 30700 79067
0 35553 90509
0 13349 96337
0 50080 73798
1 45732 49903
1 1348 66289
1 71112 87349
1 4185 62472
0 59429 94011
0 87984 88286
0 67959 84811
0 40826 88506
1 78833 99972
1 15905 75622
1 13802 55537
1 19269 81546
1 59499 73892
1 12826 47279
0 22419 44547
1 17790 37605
1 31721 35094
0 21014 47446
0 10611 73197
0 73982 76056
0 5272 33136
0 91433 96511
1 77719 98764
0 637 53105
1 97530 98089
1 78433 94022
0 48944 89916
0 12795 69845
0 46938 70544
0 69090 84130
0 12311 80689
0 24393 87553
0 31974 78684
0 77107 79953
1 4640 26835
0 21358 58690
1 2414 43187
1 35565 97810
1 35472 74495
1 56672 56683
1 41289 56730
0 26926 38946
0 29421 63317
1 34855 42704
0 1417 37135
1 6675 60768
1 54990 55317
0 1393 6513
0 64912 90920
1 53042 93085
1 18050 54733
1 23056 90183
0 1251 8629
0 7874 34856
1 37850 50345
0 4455 86201
0 13332 48216
0 8588 86462
0 63367 92721
1 38693 97034
1 44989 84018
1 19015 24320
0 73064 79358
0 30469 50259
0 21271 31613
0 22164 22904
0 14306 25776
1 14215 50590
0 12372 67362
1 47992 96021
1 25425 44012
1 14183 27226
1 57901 65890
1 27120 43091
1 20931 61798
0 67256 93308
0 80012 92714
0 81484 98594
0 23610 83324
0 48595 94521
0 25332 88340
1 16072 33287
1 3636 44785
1 3209 50320
0 22311 43761
0 25756 72032
0 17651 97245
1 3946 51469
0 48337 89307
1 43734 93129
0 28603 90327
0 28669 81109
1 23198 28507
0 48881 88737
0 25765 84673
1 5218 94073
0 63975 82519
0 88249 91253
1 17171 51602
1 42075 64290
0 82082 93758
1 17328 51171
0 35200 42794
1 2954 28617
1 19885 45090
0 59698 80910
0 33966 38634
0 42548 85180
1 29107 34782
0 14856 19790
1 35283 54808
1 10949 91570
1 32797 47730
0 68864 76030
0 17297 45985
1 2900 42469
1 11847 99250
1 6773 88426
1 8161 23362
1 67281 78168
1 74397 96134
0 19484 32124
0 10112 12028
0 34580 42970
0 5584 41330
1 60310 88195
0 31059 77241
0 65901 95357
1 50605 63832
1 13482 85429
0 34258 74990
1 1569 27130
1 21424 93919
0 61226 77356
1 22538 48221
1 56354 97681
1 5650 37183
1 48648 94973
0 57213 64087
0 85542 96636
0 16248 75012
0 52067 77127
0 3395 61561
1 4712 37623
0 47384 82102
0 12973 66009
0 24821 82775
1 68455 99460
0 14614 81614
0 62942 68194
0 37125 92203
1 45905 61572
1 65670 95631
0 6816 84790
0 38311 48609
0 3450 72472
1 945 83436
1 39854 64047
0 14128 20570
0 46265 99077
0 20361 38255
0 30159 56121
0 26692 27598
1 56493 62772
0 21991 85895
1 41365 76370
0 51807 55381
0 1197 35651
0 47050 91200
0 1478 15268
0 63857 76951
1 11599 81728
0 66043 84677
0 44535 87459
1 23894 85105
1 18261 43728
0 33463 74249
0 33190 81680
0 3484 5576
1 36803 53628
0 15401 74245
1 1349 70058
0 15769 74869
0 29291 99749
1 50392 66075
0 11519 45757
0 7922 18946
0 14679 48657
0 58844 97850
0 769 7955
1 1089 13798
0 8467 61701
0 27028 29448
1 68303 98248
1 6831 28406
1 18698 56793
0 76107 80401
0 11319 13613
1 96509 99304
0 7300 85588
0 49 69479
0 62112 77328
1 34136 89857
1 1861 16918
0 28072 34728
0 59845 68387
1 15162 52501
1 4235 79352
1 93519 95670
0 21630 40996
1 60575 95632
0 30213 30321
1 23342 82707
1 961 31316
0 20106 40776
0 51508 55200
1 81204 99083
0 16043 25423
1 35803 72600
0 28217 31783
0 27523 89111
1 85350 94837
1 11511 57584
1 54369 88598
0 10192 88892
1 27069 51580
1 24281 97138
0 37101 41731
1 33427 80726
0 39682 48110
1 6051 40848
1 33550 87371
1 7796 54805
0 15957 59413
0 68196 88240
0 48153 94715
1 19152 74913
1 52465 88228
0 79533 99147
0 31332 64288
0 29647 89927
0 42176 77204
1 17556 79619
0 56403 73281
1 62204 98653
0 78276 96580
0 28379 50523
0 2163 68335
0 27077 54433
1 59253 65224
0 15092 34274
1 68904 69325
1 77679 84562
0 48324 67012
1 46745 93762
1 12948 19291
1 33658 42781
0 23861 72357
1 87808 89077
0 39449 98015
0 35984 46470
0 11024 71440
0 18188 87446
0 57858 81326
0 42125 76939
0 64910 71110
0 45297 57139
1 38330 84905
0 69009 90933
0 13274 82936
1 17838 21511
0 65684 96210
0 5105 86575
1 47401 61596
1 34870 63187
1 10449 86280
1 8894 15189
1 57876 77493
1 75742 78191
0 52273 83251
0 18326 66574
1 21095 94660
0 5802 76604
1 85315 96672
0 1489 15235
1 13720 82931
0 70734 91788
0 18380 56618
1 13201 79450
1 15266 32411
0 3053 21383
1 80382 80961
1 620 78125
0 44832 76948
0 56912 68656
1 75921 98914
1 21961 83140
0 27012 73920
0 48806 61404
1 68482 82541
1 68092 76207
1 55509 90142
1 5330 35181
1 26289 64532
1 24642 28407
1 50584 72041
0 64602 89004
0 15575 55329
0 514 29566
1 77210 94811
0 16140 72620
1 36465 55382
0 55064 74712
0 38675 89875
0 43910 59686
1 29215 65554
1 16810 51733
1 19476 20679
0 12426 92316
0 7377 10167
0 49852 54162
0 5923 78165
0 63001 87889
1 14116 35243
1 46952 78891
1 43836 71477
1 55346 60893
0 17378 48606
0 78866 84818
1 33227 95472
0 21876 77544
0 82616 96894
1 8958 50385
1 47058 48245
1 27150 61179
1 64949 95338
0 4697 5791
1 2350 43375
0 70059 82915
1 52384 64611
0 34480 58770
0 23422 28018
1 9972 95909
1 2025 38242
0 25436 73436
0 16531 73059
0 63592 69506
1 3489 86262
0 43133 91125
1 53552 60555
0 57564 94390
0 31547 61741
0 34043 66711
0 39534 79180
0 7633 74773
0 57523 95989
0 10649 20933
1 48068 78599
1 71344 83135
0 41251 84313
1 2302 79585
1 18583 60140
1 41813 72034
1 62931 73382
1 51107 97222
0 51955 81115
0 27496 64360
0 1546 69486
1 65809 80826
1 15490 86731
0 4506 33708
0 15676 18606
1 6496 81231
1 13832 63689
1 13608 86501
0 17442 40322
1 85621 98558
0 1825 38719
1 5459 77528
0 467 30055
1 8023 64440
1 29677 39692
1 24163 36962
0 57013 90163
1 26914 46843
0 92678 94410
0 47520 98460
1 60317 63240
1 11319 73644
0 24673 99121
0 15507 19975
1 3377 74984
0 18155 58317
1 16706 62601
0 55599 99981
1 17348 29929
1 12134 93203
1 44589 52982
0 74227 89689
1 2837 25192
0 32429 90053
0 45999 59953
1 15924 30427
0 86259 88135
0 61663 85841
1 13837 15790
1 19318 89451
0 56517 71453
0 15642 94748
0 78675 93409
1 7626 87623
0 24507 26071
1 7174 23559
1 34441 68452
0 42950 49710
1 85614 99169
0 74483 91983
1 40508 96941
1 5921 82458
0 51062 72102
0 24270 40180
0 8472 87458
1 60322 81283
1 71757 94758
1 23002 26303
0 23018 33222
1 49566 85943
1 12622 68545
0 1558 12902
0 13935 14441
0 23415 32465
1 30705 76368
1 32684 82863
1 29651 86578
1 15171 49634
1 22081 45184
1 31291 64422
1 64302 83005
1 57087 76194
1 55296 68919
0 67589 99923
1 14523 51960
0 2820 49654
1 64719 95762
1 64113 99756
1 65162 72661
1 20364 43397
1 12357 64894
0 9461 29123
0 31997 61217
1 10348 55985
0 83279 90555
1 69818 95819
1 3432 17791
0 3220 78360
1 61346 82893
0 2194 58656
0 72805 88591
0 27406 39554
0 73183 86767
1 2349 18908
0 7143 69799
0 6417 57819
0 39799 79315
1 4646 95817
0 14468 92096
0 41333 73603
1 17213 71418
1 27690 72341
0 42195 69537
1 14460 49855
1 37659 59294
1 59225 84372
1 30937 47556
1 49780 88389
1 2515 98950
0 77718 80986
1 31458 76283
1 87785 88936
0 19046 68610
0 89152 95080
0 15315 96769
0 47669 54031
0 70739 97023
1 15273 95870
1 37161 97970
0 45204 91154
1 30116 40325
0 28224 40744
0 18559 24163
0 42856 48278
0 19972 33722
1 38847 77938
1 2906 9125
1 31250 56769
0 75897 95751
0 4621 43641
1 26403 36504
1 17680 61729
1 81480 95401
0 15279 65761
0 39958 63684
0 41191 50473
1 41353 54800
1 16863 74520
1 79747 87368
1 6242 81571
1 23601 55784
1 48060 85439
0 20762 46578
1 4507 51336
1 8925 62266
1 54095 68352
1 2783 25680
1 35973 86816
0 32869 34675
0 19736 75834
0 47643 79149
1 20483 84494
0 52029 57743
0 18827 55761
1 44219 78358
0 1781 16813
0 69503 84039
0 16886 29596
0 40368 55286
1 65947 72806
0 32642 84648
0 79963 80675
0 82156 97998
0 51474 63396
0 83633 92985
0 19767 61303
0 15883 95223
1 42827 93840
0 17291 79785
1 16294 65051
0 72269 79333
0 609 6847
1 45022 96059
1 40206 68817
0 12292 46916
1 8700 64017
1 60240 90501
1 47878 52651
0 28041 49409
0 29797 86799
1 12790 94765
1 3693 16456
1 25656 81663
0 16494 80896
0 23462 48734
0 58273 74031
0 39566 50808
0 7749 61291
0 30774 58394
0 45677 99935
0 38719 51287
1 23347 88068
0 55040 63012
1 16184 70141
0 34795 51631
0 58414 84314
0 5730 88510
0 59542 65780
1 45067 86472
1 49807 78568
0 26223 35255
0 30775 79601
0 1915 65539
1 12383 64586
1 18543 60800
0 13694 96860
0 29177 93463
1 26467 46762
0 26603 74101
1 44365 89838
1 29411 90292
1 19758 47275
0 33525 92971
1 2360 18061
0 40187 78839
1 76164 82195
1 156 63299
1 4450 44597
1 26729 38474
0 12608 80928
0 69381 71369
0 35990 43368
0 91529 94837
0 50036 75708
1 66236 78731
0 61716 86268
1 7056 71873
1 45608 60013
0 39937 82263
0 2817 42549
1 29215 94296
0 13350 30698
1 33990 95745
0 55178 63550
0 15362 82602
0 465 76855
1 58169 90356
0 14647 20285
1 88648 99271
0 67699 73969
0 9759 26129
0 1203 78159
0 19225 65823
1 28321 90032
1 17595 98994
1 45220 67027
1 16845 72406
0 30095 45237
1 35021 68628
0 77845 87619
1 48531 78492
1 73977 91328
1 43060 74703
1 20231 22160
1 37267 84012
0 16024 69620
1 10320 22143
0 19324 20186
1 1670 65969
1 84606 97963
1 61046 71101
0 2529 44609
1 9161 83602
1 411 45250
1 83949 87716
1 7584 18163
0 48801 58843
0 87686 97492
0 36932 94872
0 208 43376
0 41217 64937
1 23760 29111
1 76201 93712
1 31052 90169
1 10118 66759
1 51054 91121
1 45106 84135
0 35983 74161
1 84374 94055
0 77703 97707
0 77662 92574
1 15732 69691
1 21795 42078
1 70375 80408
0 7917 70659
0 9137 18681
1 86787 99624
0 24669 97907
0 58884 91304
0 11979 47355
1 30503 88176
1 30251 97424
0 29735 86091
0 69574 94942
0 9292 92600
1 10142 68189
0 71782 90958
0 8456 90272
0 22949 79991
1 60799 68328
1 22035 47670
0 21111 71307
0 18218 61318
0 20027 93491
1 30188 82893
0 19252 79748
1 13745 26472
0 53846 91028
0 12558 46372
1 7151 41536
0 60046 94422
1 5622 60669
0 42455 78031
1 15939 22826
1 47532 78011
1 11318 23427
0 9909 51631
0 81033 90877
0 35161 58519
0 15299 56839
1 42824 75901
0 83878 84426
1 54153 58800
1 12920 26157
1 69985 99784
1 51891 92428
0 63936 94550
0 39675 41857
0 31129 79209
1 2325 21624
1 27748 85575
0 13309 41819
0 68893 91785
0 59930 94636
1 34887 44958
1 55503 89116
